Seed,Step,TextIndex,Dose,Residual,PolicyReward,BestSoFar,Model,Group,Method
2,1,19,39.0,0.0010026310689634221,0.0007730218926760943,0.0010026310689634221,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,2,37,25.0,0.0007572130062211656,0.0,0.0010026310689634221,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,3,36,15.0,0.0005226763561518612,0.0005039404887463587,0.0010026310689634221,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,4,21,18.0,0.0013698083719297879,0.0007426284971703699,0.0013698083719297879,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,5,22,29.0,0.003612762274610366,0.003052224540585985,0.003612762274610366,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,6,14,0.0,0.002269403244012924,0.0,0.003612762274610366,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,7,5,23.0,0.016125978841373678,0.0016222989406671218,0.016125978841373678,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,8,33,38.0,0.0025842764443570277,0.0,0.016125978841373678,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,9,7,32.0,0.28070864468336965,0.2669611635100074,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,10,49,18.0,0.00047957651590990746,0.0004690543804892755,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,11,29,15.0,0.001698125185790567,0.0010078031503989947,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,12,45,28.0,0.0003880018759657923,7.674795021535307e-05,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,13,20,26.0,0.014558416526527437,0.0,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,14,16,6.0,3.820293581326042e-05,0.0,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,15,38,24.0,0.004482224339209334,0.0005501700014758516,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,16,6,21.0,0.031183828247030698,0.027073988658134374,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,17,49,21.0,0.00015897810433929127,0.0001484559689186593,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,18,41,36.0,0.01412310387912441,0.01370574891945664,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,19,41,19.0,0.03369149529794413,0.03327414033827636,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,20,4,34.0,0.0055503874780921825,0.004373543125869081,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,21,12,15.0,0.010919760439578652,0.0,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,22,47,39.0,0.0007223115817003058,0.00029437897811054057,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,23,21,1.0,0.00045685580334840553,0.0,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
2,24,45,28.0,0.0003880018759657923,7.674795021535307e-05,0.28070864468336965,Architectural Divergence (RoBERTa),Low Redundancy,Random
