Seed,Step,TextIndex,Dose,Residual,PolicyReward,SupportMeanPIER,BestSoFar,Model,Group,Method
4,1,38,1.0,0.29665882373179087,0.054810539858201626,0.14155131752491518,0.29665882373179087,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,2,38,2.0,0.2947495201813914,0.06149592236315885,0.19966814143978612,0.29665882373179087,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,3,38,3.0,0.28983341109061056,0.01395532489408281,0.036280886140123564,0.29665882373179087,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,4,38,4.0,0.3019922200461564,0.026383753414905186,0.09623710097854918,0.3019922200461564,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,5,38,5.0,0.19399024117091235,0.03383323413926072,0.12075873833443926,0.3019922200461564,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,6,38,6.0,0.3176818570776682,0.038426299344747485,0.13415980694872834,0.3176818570776682,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,7,38,7.0,0.1328739214467622,0.012109889544417173,0.031673919030145506,0.3176818570776682,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,8,38,8.0,0.08837149173592523,0.04426141768725108,0.11934537907376541,0.3176818570776682,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,9,38,9.0,0.2983766480950901,0.08486967168808643,0.2347966268291133,0.3176818570776682,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,10,38,10.0,0.2966868723509953,0.008136080297857942,0.0692275292279714,0.3176818570776682,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,11,38,11.0,0.3680057868644668,0.04629425548706428,0.12675141194438164,0.3680057868644668,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,12,38,12.0,0.28678012682336174,0.02690170440432572,0.09137249524932098,0.3680057868644668,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,13,38,13.0,0.2628025267079724,0.052883090241126904,0.11001971766066501,0.3680057868644668,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,14,38,14.0,0.2715469741621815,0.018288413682045236,0.055527479967820204,0.3680057868644668,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,15,38,15.0,0.3970073656548858,0.02064343965341985,0.04997089757853738,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,16,38,16.0,0.30864389532461994,0.026122790611429258,0.09816092936298872,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,17,38,17.0,0.2986448314572245,0.09223589736856605,0.21580063097004917,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,18,38,18.0,0.26941806798281837,0.04300811240071863,0.14779504727550832,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,19,38,19.0,0.20635103306560773,0.036414721830959396,0.11222782620773919,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,20,38,20.0,0.28096895164924857,0.014014119719364625,0.07791916413269033,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,21,38,21.0,0.15330748365496366,0.001547567146892044,0.012362021128399105,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,22,38,22.0,0.30393691294421277,0.029060092137587014,0.0783227065095818,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,23,38,23.0,0.30410115578509617,0.01592679904789903,0.07864888808796307,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,24,38,24.0,0.29770942614823076,0.00802385979173792,0.037438930813922425,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,25,38,25.0,0.2687991248064062,0.0003751389518579673,0.02232847002223577,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,26,38,26.0,0.2905179861969058,0.04140270952387741,0.11965671132937998,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,27,38,27.0,0.29625608509426793,0.05611636915622731,0.17546468182926359,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,28,38,28.0,0.30754320759802306,0.09056300968095497,0.21355912852791512,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,29,38,29.0,0.30375793369016146,0.037346821391533155,0.12744320418724162,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,30,38,30.0,0.27243278003138127,0.04248595355349745,0.12505397774341992,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,31,38,31.0,0.3304762280425018,0.06308201442979057,0.1690008286007863,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,32,38,32.0,0.3153616739188507,0.023582120830433474,0.0773238297860683,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,33,38,33.0,0.30746323577425627,0.025033831553096984,0.09167676862178277,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,34,38,34.0,0.21749320279992712,0.030093446050432536,0.08638796148317161,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
4,35,38,35.0,0.2612639317785692,0.031774669483219664,0.1252962497104173,0.3970073656548858,Architectural Divergence (RoBERTa),Low Redundancy,JointPairUCB
