query,best_residual,attempts
1,0.3786052916247792,1
2,0.3786052916247792,214
3,0.3786052916247792,341
4,0.3786052916247792,408
5,0.3786052916247792,583
6,0.3786052916247792,630
7,0.3786052916247792,649
8,0.3786052916247792,691
9,0.3786052916247792,701
10,0.3786052916247792,713
11,0.3786052916247792,758
12,0.3786052916247792,887
13,0.3786052916247792,946
14,0.3786052916247792,958
15,0.3786052916247792,1031
16,0.3786052916247792,1039
17,0.3786052916247792,1049
18,0.3786052916247792,1068
19,0.3786052916247792,1084
20,0.3786052916247792,1148
21,0.4840992608995172,1244
22,0.4840992608995172,1273
23,0.4840992608995172,1279
24,0.4840992608995172,1405
25,0.4840992608995172,1439
26,0.4840992608995172,1462
27,0.4840992608995172,1529
28,0.4840992608995172,1533
29,0.4840992608995172,1563
30,0.4840992608995172,1693
31,0.4840992608995172,1696
32,0.4840992608995172,1743
33,0.4840992608995172,1746
34,0.4840992608995172,1799
35,0.4840992608995172,1884
36,0.4840992608995172,1963
37,0.4840992608995172,2038
38,0.4840992608995172,2040
39,0.4840992608995172,2071
40,0.4840992608995172,2162
41,0.4840992608995172,2187
42,0.4840992608995172,2253
43,0.5307540304389078,2374
44,0.5307540304389078,2377
45,0.5307540304389078,2471
46,0.5307540304389078,2570
47,0.5307540304389078,2577
48,0.5307540304389078,2590
49,0.5307540304389078,2680
50,0.5307540304389078,2689
51,0.5307540304389078,2916
52,0.5307540304389078,2961
53,0.5307540304389078,3067
54,0.5307540304389078,3118
55,0.5307540304389078,3148
56,0.5307540304389078,3152
57,0.5307540304389078,3161
58,0.5307540304389078,3163
59,0.5307540304389078,3216
60,0.5307540304389078,3232
61,0.5307540304389078,3407
62,0.5307540304389078,3411
63,0.5307540304389078,3498
64,0.5307540304389078,3538
65,0.5307540304389078,3542
66,0.5307540304389078,3558
67,0.5307540304389078,3713
68,0.5307540304389078,3727
69,0.5307540304389078,3777
70,0.5307540304389078,3908
71,0.5307540304389078,4054
72,0.5307540304389078,4058
73,0.542357633326723,4108
74,0.542357633326723,4173
75,0.542357633326723,4175
76,0.542357633326723,4202
77,0.542357633326723,4241
78,0.542357633326723,4258
79,0.542357633326723,4270
80,0.542357633326723,4285
81,0.542357633326723,4305
82,0.542357633326723,4374
83,0.542357633326723,4460
84,0.542357633326723,4468
85,0.542357633326723,4473
86,0.542357633326723,4531
87,0.542357633326723,4590
88,0.542357633326723,4641
89,0.542357633326723,4680
90,0.542357633326723,4871
91,0.542357633326723,4920
92,0.542357633326723,4986
93,0.542357633326723,4987
94,0.542357633326723,5036
95,0.542357633326723,5082
96,0.542357633326723,5140
97,0.542357633326723,5146
98,0.542357633326723,5149
99,0.542357633326723,5180
100,0.542357633326723,5206
101,0.542357633326723,5275
102,0.542357633326723,5287
103,0.542357633326723,5488
104,0.542357633326723,5620
105,0.542357633326723,5785
106,0.542357633326723,5837
107,0.542357633326723,5861
108,0.542357633326723,5891
109,0.542357633326723,5941
110,0.542357633326723,5963
111,0.542357633326723,6038
112,0.542357633326723,6066
113,0.542357633326723,6121
114,0.542357633326723,6139
115,0.542357633326723,6141
116,0.542357633326723,6147
117,0.542357633326723,6326
118,0.542357633326723,6571
119,0.542357633326723,6605
120,0.542357633326723,6637
121,0.542357633326723,6643
122,0.542357633326723,6754
123,0.542357633326723,6808
124,0.542357633326723,6853
125,0.542357633326723,6856
126,0.542357633326723,7085
127,0.542357633326723,7110
128,0.542357633326723,7111
129,0.542357633326723,7170
130,0.542357633326723,7212
131,0.542357633326723,7234
132,0.542357633326723,7355
133,0.542357633326723,7356
134,0.542357633326723,7407
135,0.542357633326723,7408
136,0.542357633326723,7448
137,0.542357633326723,7461
138,0.542357633326723,7492
139,0.542357633326723,7614
140,0.542357633326723,7673
141,0.542357633326723,7746
142,0.542357633326723,7769
143,0.542357633326723,7803
144,0.542357633326723,7908
145,0.542357633326723,7989
146,0.542357633326723,7990
147,0.542357633326723,8021
148,0.542357633326723,8061
149,0.542357633326723,8084
150,0.542357633326723,8146
151,0.542357633326723,8192
152,0.542357633326723,8227
153,0.542357633326723,8324
154,0.542357633326723,8357
155,0.542357633326723,8544
156,0.542357633326723,8555
157,0.542357633326723,8652
