unique,dim,K,R,seed,baseline_disco_distance,max_residual,total_attempts
1,20,200,3.0,0,32.260378665775434,3.2705285766111585,11356
1,20,200,3.0,1,32.94140019909297,5.869475904017623,10713
1,20,200,3.0,2,34.66969972969174,4.102098361683353,11523
1,20,200,3.0,3,32.382745955311435,3.5950467224282203,12648
1,20,200,3.0,4,34.70319506158357,3.384123320717612,10231
1,20,500,3.0,0,33.10787713909203,3.906135187630882,28034
1,20,500,3.0,1,31.895916436488207,5.523299484120781,26826
1,20,500,3.0,2,33.42232942930247,4.2586541344834945,30543
1,20,500,3.0,3,34.85494716900604,4.59140560837173,30773
1,20,500,3.0,4,36.054479809717016,4.253967203913035,28421
1,20,1000,3.0,0,34.239879270447084,5.181255959963966,55907
1,20,1000,3.0,1,33.54236543568277,6.0220493534322355,56243
1,20,1000,3.0,2,36.148839718364,5.086132777506687,58668
1,20,1000,3.0,3,33.62444153017007,4.088420421479992,59922
1,20,1000,3.0,4,34.0915632221393,4.199483459792982,57929
