Seed,Step,TextIndex,Dose,Residual,PolicyReward,BestSoFar,Model,Group,Method
0,1,0,24.0,0.011225620103604353,0.0,0.011225620103604353,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,2,1,24.0,0.11198810738000634,0.0,0.11198810738000634,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,3,2,3.0,0.07374630605937409,0.0,0.11198810738000634,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,4,3,18.0,0.07735357407594372,0.005488075621916555,0.11198810738000634,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,5,4,3.0,0.03273397105890294,0.0,0.11198810738000634,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,6,5,12.0,0.08929052620250588,0.0,0.11198810738000634,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,7,6,38.0,0.12424991184155942,0.003495351910495992,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,8,7,35.0,0.1105516748051282,0.0,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,9,8,22.0,0.06328757853486722,0.0,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,10,9,5.0,0.06783350641043337,0.0,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,11,10,23.0,0.08601898181498671,0.0,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,12,11,32.0,0.10276065154974842,0.08158477356477317,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,13,12,11.0,0.08010216854089491,0.011290473934363665,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,14,13,20.0,0.02786288230554972,0.013348357111356863,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,15,14,10.0,0.09671739893283171,0.0,0.12424991184155942,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,16,15,37.0,0.13569717240867107,0.1331442678044181,0.13569717240867107,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,17,16,28.0,0.09590721253846507,0.0,0.13569717240867107,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,18,17,2.0,0.6184238049766775,0.5765708810844924,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,19,18,27.0,0.32368652200395,0.19591830031935523,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,20,19,19.0,0.32720180922454145,0.0,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,21,20,25.0,0.2271947014478116,0.0966302413370922,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,22,21,23.0,0.07690019208667553,0.0,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,23,22,20.0,0.10220580147112235,0.02562821451213179,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,24,23,29.0,0.15478572051645434,0.05141876409757673,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,25,24,3.0,0.021795125424220463,0.014886569642260317,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,26,25,35.0,0.10002773926765808,0.003552557893638106,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,27,26,39.0,0.0636460286559743,0.0,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,28,27,9.0,0.049298994498415016,0.0,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
0,29,28,9.0,0.011474969909421262,0.0,0.6184238049766775,Architectural Divergence (DeBERTa-MNLI),Low Redundancy,Random
